"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","avg_cases_per_week_14","population","avg_cases_population_ratio_per_week_14","covid19_percentage_label"
"04WA","Ox Meadows Airport","small_airport","47.5817985535","-117.43699646","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"0NC7","Lindsay Airport","small_airport","36.36481","-79.99614","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"0OK4","Rock Creek Farm Airport","small_airport","34.66059875488281","-96.25360107421875","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"1GA8","South One Ten Airport","small_airport","31.178499221801758","-83.22650146484375","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"20NC","Mountain View Airport","small_airport","35.59239959716797","-81.05590057373047","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"25FL","Connell's Wahoo Airport","small_airport","28.631900787353516","-82.15779876708984","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"26IS","Ficklin-Airtech Airport","small_airport","40.766700744628906","-88.50559997558594","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"2KY5","Womstead Field","small_airport","38.375","-83.15470123291016","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"3MN5","Little Rock/Rock Port Airport","closed","45.723","-94.193901","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"44MU","Lynch Field","small_airport","36.90810012817383","-94.30999755859375","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"48WA","West Valley Airport","small_airport","46.562193","-120.780311","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"50OH","Culver Field","small_airport","41.66310119628906","-83.41549682617188","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"6TX2","Circle M Ranch Airport","small_airport","29.834999084472656","-96.51439666748047","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"75AK","Henley Airport","small_airport","60.593067","-151.327956","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
