Source,Target,Weight
JE,FR,8
SG,JP,148
SG,SG,16
CZ,FI,7
IT,TR,128
MT,GB,19
LB,GR,4
PL,HU,32
UA,RU,52
GR,UA,1
IN,KZ,6
BE,LU,12
PH,CA,3
RU,BM,1
SA,RU,1
QA,ID,24
RU,SI,7
GB,BE,286
LB,QA,89
SG,IN,208
IN,BD,115
IE,JE,1
RS,HU,6
KZ,UA,6
EE,IT,4
IN,MA,1
CR,NL,1
HR,CZ,5
RU,CZ,37
LU,CZ,1
HK,TW,409
BH,KR,4
BR,DK,4
HR,RU,3
LB,RS,1
DE,SE,280
EC,US,61
RU,SG,16
SK,FR,9
IN,EE,1
PA,MX,51
ES,CA,15
CY,BE,3
PH,PH,111
BG,AT,3
FR,DZ,102
CO,TR,2
IT,LB,15
VN,HK,59
GT,EC,4
MT,IL,1
IT,GR,35
UA,GR,1
US,IE,137
RU,CN,24
TR,ES,115
DE,SN,2
BN,MY,14
LC,CA,1
AE,TN,3
IT,FI,17
PL,PL,1008
IT,SI,32
DE,DK,172
IE,PL,35
ID,HK,15
NL,NO,106
DK,NO,129
AE,CA,28
LT,PT,2
IN,DK,1
BD,JP,1
BE,SK,1
ZA,KE,76
CA,US,2147
MA,FR,262
ES,IT,463
LU,IT,67
UA,EE,10
MT,DE,33
LV,BY,5
RO,ES,31
AT,SE,18
US,KZ,1
GT,CA,4
US,BG,22
SG,RU,10
FR,SI,6
GB,AE,161
UZ,TR,6
NO,AE,24
US,ZA,1
BE,MX,1
JP,KR,234
IL,IE,2
CH,HU,26
DK,UA,10
IE,BG,5
PA,NL,17
TR,CA,27
IE,LT,13
BD,KE,1
CZ,LV,6
UA,QA,17
MY,QA,57
RO,CH,20
PT,LB,1
SN,SN,53
CZ,EE,1
VC,US,11
PL,IE,33
AT,BY,12
TH,VN,3
MY,TH,22
US,NL,600
TW,TH,12
ZA,CH,15
FI,PH,1
SN,GW,3
CH,TH,2
SI,MT,1
IL,IT,12
BD,IN,135
ES,PE,5
BE,IS,9
ES,IM,1
RO,IE,4
KR,BD,1
MX,CO,68
TR,CY,69
SG,ZA,21
SA,ES,4
MA,TN,1
DE,TW,26
US,AT,20
GR,GR,109
JP,AT,1
JP,AE,63
KR,QA,22
US,IN,207
TW,TR,17
FR,CZ,60
TW,AU,65
PT,PL,7
US,BR,421
UA,ZA,1
SA,IE,1
IN,CN,23
US,PA,535
AU,KR,19
DK,MT,1
PA,FR,5
DE,JE,1
FR,CN,12
CO,BR,8
CH,KE,2
PH,TR,24
NO,SG,1
PT,MT,2
CY,RO,1
CH,CY,9
IL,FR,22
FR,AT,65
NL,AT,91
CZ,AT,30
SG,MY,198
IS,GB,13
UA,HR,5
CH,SG,37
LB,IN,3
NZ,US,49
NL,EC,15
IE,IL,2
SE,GR,3
MA,ES,137
ZA,BE,17
TW,NO,1
AU,LK,1
HK,NL,45
TR,CZ,29
RU,MO,1
KR,TW,102
GR,AT,5
AE,LB,109
US,HK,240
CR,EC,1
IM,GB,39
TR,HU,35
AU,BN,10
AE,TW,25
CZ,FR,65
QA,QA,14
LU,QA,63
SI,UA,2
QA,CN,19
KZ,BE,10
IT,SE,9
SI,CZ,5
IE,MT,4
TR,FR,219
PL,IT,39
BE,SG,7
BM,GB,7
QA,UA,18
RU,MA,3
HK,SA,9
BG,BG,32
SI,PL,2
QA,KR,26
IN,MT,2
DK,FR,74
IN,QA,452
TH,QA,3
RS,AE,20
BH,GB,30
CO,DE,12
KR,RU,38
BR,RU,1
US,IT,215
HU,DE,148
RU,IN,19
TH,AE,8
KZ,IN,6
UA,CH,29
BN,HK,4
GT,NI,8
AE,GR,30
BE,BY,7
RU,NO,4
ZA,NL,50
AT,GG,2
LB,SI,1
CA,CA,8704
HK,AT,8
HR,HR,28
CH,EE,2
AT,RU,66
BD,SA,62
PH,CN,20
PA,CO,76
PR,PA,8
SK,PL,3
BR,PH,1
DZ,ES,14
BB,LC,5
BR,ID,1
IN,AE,1204
US,HR,2
ML,IT,2
ES,NL,245
NO,IL,6
QA,IT,149
KR,CN,44
LV,SE,18
NO,BE,2
FR,FI,33
LT,NL,14
MA,NL,15
