"Source","Target","flights_count"
"ES","AE","5"
"GB","TW","5"
"GB","IS","17"
"AE","GB","10"
"HU","KZ","1"
"MT","GB","4"
"SE","PT","1"
"TH","LU","5"
"RU","TR","2"
"RS","IT","1"
"IE","SK","1"
"CR","US","32"
"IE","PR","1"
"TW","KR","31"
"MT","DE","6"
"KR","PH","12"
"AR","DE","2"
"CA","AR","1"
"IE","CH","4"
"MY","CN","19"
"BD","TR","2"
"HK","SG","47"
"DO","PR","1"
"CZ","RU","1"
"AE","IR","4"
"CA","CH","2"
"ZA","TR","1"
"QA","KR","10"
"DE","JP","4"
"TR","ZA","3"
"ES","CH","4"
"IT","CN","3"
"IT","HR","2"
"ES","BR","2"
"SK","AT","1"
"RO","DK","2"
"GR","CY","7"
"SK","NO","1"
"TR","MY","2"
"DE","CY","3"
"GR","KZ","3"
"BE","BH","2"
"FI","KR","2"
"LV","DE","5"
"IL","GB","20"
"ES","BO","2"
"PH","HK","21"
"BY","CH","1"
"IT","US","11"
"RS","BA","1"
"IL","US","7"
"RU","AE","1"
"SA","QA","1"
"TH","DK","2"
"CR","CH","1"
"CN","IN","2"
"KR","MY","7"
"SE","TH","3"
"KZ","QA","1"
"TW","SG","22"
"AT","NL","1"
"IE","QA","7"
"CH","HK","1"
"US","TR","10"
"PR","DO","3"
"SI","RS","1"
"KR","AT","9"
"CA","PM","1"
"DE","TR","33"
"HR","DE","28"
"LK","DE","1"
"IE","BE","11"
"SE","PL","2"
"KR","LU","3"
"BE","DE","67"
"BR","SN","5"
"IT","LU","6"
"SE","ES","7"
"AU","TH","2"
"CR","DE","2"
"DE","RS","3"
"SN","CV","1"
"LK","TH","1"
"RO","SE","4"
"RO","DE","5"
"ES","CO","3"
"DE","IL","1"
"AE","LK","1"
"AM","SE","1"
"DO","DE","3"
"MO","CN","10"
"IL","BE","18"
"RU","IS","1"
"AT","IT","6"
"SE","EE","6"
"RS","SE","1"
"NZ","CA","5"
"SK","GB","1"
"BY","EE","2"
"DK","SG","4"
"PT","BE","8"
"CA","GB","23"
"PT","DE","23"
"IT","FR","21"
"QA","GR","3"
"ZA","NL","3"
"TR","SA","3"
"QA","LK","9"
"RU","FI","2"
"DE","FR","124"
"SK","CH","1"
"DE","LV","5"
"NL","PT","6"
"DZ","GB","2"
"FR","PE","2"
"PT","KZ","1"
"KR","FI","3"
"HU","GB","23"
"HK","IN","6"
"IN","ES","1"
"ES","QA","9"
"ZA","HK","1"
"DE","BH","22"
"SG","MO","1"
"IL","BG","2"
"AR","FR","2"
"KZ","TW","1"
"CH","US","5"
"US","IE","30"
"US","GB","169"
"NO","FI","1"
"SE","FI","31"
"NL","CN","2"
"MY","KR","9"
"MY","NZ","3"
"LK","AM","2"
"LK","AE","1"
"DE","EE","3"
"PL","FI","1"
"US","PH","2"
"QA","ES","18"
"AE","AU","5"
"MY","PH","2"
"CH","DE","66"
"MY","AU","21"
"GR","ES","1"
"KR","NL","8"
"FR","RO","1"
"IN","BH","2"
"BE","FR","35"
"DE","HU","22"
"ES","GB","65"
"SN","BR","8"
"NO","AE","1"
"US","SE","2"
"PH","BH","2"
"BY","LT","2"
"CZ","ES","4"
"BE","SN","1"
"TR","TH","1"
"JP","MY","1"
"CZ","HU","6"
"JE","GB","7"
"SE","BE","14"
"FI","TH","2"
"PT","CH","9"
"CN","DE","3"
"IE","IS","6"
"KZ","SE","1"
"BR","ES","2"
"AR","PL","1"
"AR","BR","7"
"IS","IE","5"
"CH","CZ","3"
"FR","DZ","7"
"CO","CA","1"
"ES","CN","2"
"MT","FR","6"
"CN","US","10"
"TR","QA","4"
"GB","LK","2"
"RO","KZ","1"
"NL","IE","15"
"PL","CY","2"
"LV","BY","1"
"DE","DK","45"
"GB","JP","15"
"SN","TR","2"
"BY","RU","7"
"GB","DK","14"
"CA","TW","5"
"RS","KR","1"
"BB","VC","2"
"NL","BE","14"
"CY","TR","1"
"GB","NO","6"
"CR","CA","3"
"JE","FR","1"
"KZ","US","1"
"CA","CR","1"
"NL","SE","14"
"DK","IS","4"
"GB","TH","2"
"PL","DK","2"
"TW","MO","7"
"ES","SA","1"
"ES","DZ","3"
"RU","CH","3"
"DE","KR","30"
"GB","HR","4"
"SG","TW","18"
"ES","IT","13"
"BE","FI","6"
"PT","FR","4"
"NL","GB","51"
"ZA","QA","3"
"PH","TW","17"
"PH","JP","10"
"SA","NL","4"
"FR","MA","1"
"DE","GB","177"
"DE","IT","98"
"QA","BH","2"
"DO","US","3"
"CN","KR","7"
"QA","DK","7"
"ES","PL","1"
"GB","MT","6"
"GB","IE","115"
"BE","IS","7"
