"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2019-04-01","2","B738","WMKK","RPLL","3"
"2019-04-01","2","MD11","EDDK","VMMC","1"
"2019-04-01","2","A320","KDEN","CYVR","1"
"2019-04-01","2","LJ45","ELLX","LFSN","2"
"2019-04-01","2","A320","RPLL","WBKK","2"
"2019-04-01","2","B738","LTBA","UKBB","1"
"2019-04-01","2","A320","EFHK","EDDT","1"
"2019-04-01","2","B738","LEMG","ENGM","2"
"2019-04-01","2","B738","ENGM","EDDB","2"
"2019-04-01","2","B738","LIRA","LPPT","2"
"2019-04-01","2","A388","OMDB","FABA","1"
"2019-04-01","2","A320","ULLI","LIRF","3"
"2019-04-01","2","A321","LFPG","EHAM","2"
"2019-04-01","2","CRJ9","LFML","EDDM","1"
"2019-04-01","2","B738","WMKK","VNKT","1"
"2019-04-01","2","DH8D","EBBR","LDZA","2"
"2019-04-01","2","A333","ESSA","KLAX","1"
"2019-04-01","2","AT76","EGNM","EIDW","2"
"2019-04-01","2","B733","EHAM","EGNP","2"
"2019-04-01","2","B77W","FAOR","ZGSZ","1"
"2019-04-01","2","A320","EDDF","OBBI","1"
"2019-04-01","2","A320","EGSS","LKKL","1"
"2019-04-01","2","B350","LDPL","EGHH","1"
"2019-04-01","2","A319","LIRF","EDDS","1"
"2019-04-01","2","B738","LEBL","LTFJ","1"
"2019-04-01","2","A333","EDDF","UAAA","1"
"2019-04-01","2","B77W","OMDB","LEBL","1"
"2019-04-01","2","A321","LTBA","ESSA","1"
"2019-04-01","2","","LFMN","LPFR","1"
"2019-04-01","2","B738","EHEH","EGPH","1"
"2019-04-01","2","B738","EKCH","LIRA","1"
"2019-04-01","2","","LFBD","LPPT","1"
"2019-04-01","2","A321","LSZH","ESSA","1"
"2019-04-01","2","A320","MMMX","KIAD","1"
"2019-04-01","2","A21N","LPPT","EGLL","2"
"2019-04-01","2","B738","LEMD","EPMO","1"
"2019-04-01","2","A320","LFPG","LGAV","1"
"2019-04-01","2","C25A","LHBP","EGBB","1"
"2019-04-01","2","B789","EGLL","KBWI","1"
"2019-04-01","2","E75S","LIML","ELLX","1"
"2019-04-01","2","B737","EHRD","LOWW","1"
"2019-04-01","2","B77W","VHSK","EDDF","1"
"2019-04-01","2","A321","EHAM","EFHK","1"
"2019-04-01","2","A320","LFPO","LPPT","1"
"2019-04-01","2","A359","NTAA","KSFO","1"
"2019-04-01","2","","VTBD","RJBB","2"
"2019-04-01","2","A320","EGGD","LPFR","1"
"2019-04-01","2","A319","LIRF","LOWW","1"
"2019-04-01","2","","KBED","CYOW","1"
"2019-04-01","2","B763","KSEA","RJBB","1"
"2019-04-01","2","","GBYD","GOBD","1"
"2019-04-01","2","","EBBR","EGCC","1"
"2019-04-01","2","A333","VIDP","UUEE","1"
"2019-04-01","2","A332","KJFK","LIRF","1"
"2019-04-01","2","A346","KJFK","EDDM","1"
"2019-04-01","2","B744","KPHL","EDDF","1"
"2019-04-01","2","B772","CYYZ","LFPG","1"
"2019-04-01","2","A333","CYUL","EHAM","1"
"2019-04-02","3","","EBBR","EDDF","1"
"2019-04-02","3","B752","EGNX","BIKF","1"
"2019-04-02","3","B738","LEBL","ENGM","1"
"2019-04-02","3","","LFPO","LIPV","1"
"2019-04-02","3","A359","OTHH","EGCC","2"
"2019-04-02","3","A320","LOWW","EBBR","2"
"2019-04-02","3","FA8X","LSGG","EPWA","1"
"2019-04-02","3","","LEBL","EKCH","1"
"2019-04-02","3","E195","LIMC","EDDM","2"
"2019-04-02","3","A319","EBBR","LIRQ","1"
"2019-04-02","3","E195","LFLL","EDDM","1"
"2019-04-02","3","A319","LIRF","LSZH","1"
"2019-04-02","3","B738","EGSS","LGAV","1"
"2019-04-02","3","A20N","EGAA","EHAM","1"
"2019-04-02","3","A320","LFLL","EDDF","1"
"2019-04-02","3","A320","LEBL","ESGG","1"
"2019-04-02","3","A319","LZIB","LFPO","1"
"2019-04-02","3","","EKCH","LEBL","1"
"2019-04-02","3","A321","LEBL","LIRF","2"
"2019-04-02","3","CRJ2","KIND","CYYZ","2"
"2019-04-02","3","A321","LSGG","UUEE","1"
"2019-04-02","3","A333","EDDF","OETH","1"
"2019-04-02","3","A319","EGKK","LIEO","1"
"2019-04-02","3","A333","EDDF","OMDB","1"
"2019-04-02","3","A359","OTHH","LIMC","2"
"2019-04-02","3","E190","ELLX","LSZH","1"
"2019-04-02","3","B789","RJTT","CYVR","1"
"2019-04-02","3","B739","EHAM","EGPF","1"
"2019-04-02","3","","VIDP","OMDB","1"
"2019-04-02","3","A318","LFPG","LROP","1"
"2019-04-02","3","","EBKT","LSZX","1"
"2019-04-02","3","B738","CEF4","KPSP","2"
"2019-04-02","3","A319","EGKK","LIRF","1"
"2019-04-02","3","","KBLI","CCI9","1"
"2019-04-02","3","B737","EDDL","ENGM","1"
"2019-04-02","3","A321","LTBA","LSZH","1"
"2019-04-02","3","A319","TXKF","KPHL","1"
"2019-04-02","3","B738","EPSY","EGSS","1"
"2019-04-02","3","B738","KLAX","CYYC","1"
"2019-04-02","3","B772","KORD","LOWW","1"
"2019-04-03","4","","YBBN","KHHR","2"
"2019-04-03","4","B788","YBBN","CYVR","1"
"2019-04-03","4","A333","KJFK","LEBL","1"
"2019-04-03","4","A20N","OTHH","LTFJ","2"
"2019-04-03","4","B752","KJFK","EGPH","1"
