"Source","Target","flights_count"
"EFHK","LTBA","2.0"
"RJTT","VIDP","9.0"
"EDDK","LOWW","5.0"
"LMML","LFLL","5.0"
"EBLG","LFHX","1.0"
"LEMD","EDDF","10.0"
"CYYZ","LSZH","2.0"
"VIDP","LIRF","1.0"
"MDBC","KILG","1.0"
"EKCH","EDDK","4.0"
"RCTP","LFPG","3.0"
"LLBG","EHAM","1.0"
"VTBS","RJAA","2.0"
"VHHH","LEBL","1.0"
"EDNG","LSMD","1.0"
"78MI","EHAM","1.0"
"LEBL","EGLF","1.0"
"SBKP","EHAM","2.0"
"UAAA","ZGSZ","4.0"
"LTBA","EDFH","1.0"
"WSAC","VHHH","1.0"
"EIDW","EGPG","1.0"
"KATL","SAEZ","1.0"
"LSZB","EIME","1.0"
"FAGC","EHAM","1.0"
"LIME","EDDB","4.0"
"CYVR","RJTL","2.0"
"EFHK","ESSB","1.0"
"LHBP","EPWA","1.0"
"VHHH","LTBW","1.0"
"OTHH","LFPG","28.0"
"CYYJ","KSEA","7.0"
"VHHH","WBSB","2.0"
"CYUL","KFLL","7.0"
"EKRK","LIMA","1.0"
"LGAV","LTBA","1.0"
"LHBP","UMMS","2.0"
"KMIA","EDDF","1.0"
"LIRF","EDDT","2.0"
"CYXX","WN35","2.0"
"EDDM","UMMS","3.0"
"ETOU","1MU4","1.0"
"EPWA","CYYZ","1.0"
"KMFE","MM38","1.0"
"UDYZ","UUEE","1.0"
"GOBD","EGVN","1.0"
"UNNT","EVRA","1.0"
"LFML","LIPY","1.0"
"LFBO","ETSI","1.0"
"LSGG","UKBB","1.0"
"OTBH","OE51","1.0"
"VHHH","LSZH","1.0"
"SKBO","EBLG","1.0"
"WSSS","YSSY","31.0"
"RCTP","PANC","45.0"
"LSGG","EIDW","1.0"
"VTBD","EKCH","1.0"
"EGLL","LLBG","3.0"
"EKCH","EGKB","1.0"
"LIRF","EDDL","1.0"
"OTHH","EKCH","7.0"
"WSSS","RCTP","18.0"
"KDEN","CYYZ","4.0"
"OMDW","OERK","4.0"
"WSAC","YSSY","1.0"
"EDDK","LKPR","5.0"
"LEMG","LIRF","1.0"
"KJFK","LEMD","1.0"
"UUWW","LLBG","1.0"
"EDDH","EGLL","2.0"
"EDDN","LSZH","1.0"
"KEWR","LFPG","4.0"
"LDZA","EDDS","2.0"
"LTBA","LFPG","2.0"
"LFPG","EBLG","2.0"
"EFHK","EDDF","3.0"
"EDDN","LOWW","1.0"
"VHHH","OTHH","31.0"
"VTBS","ELLX","5.0"
"VMMC","RCTP","6.0"
"KMIA","SBKP","20.0"
"EBCI","EGSS","1.0"
"LEBL","LSZH","1.0"
"EGSH","EDVK","1.0"
"EDDP","LIPE","5.0"
"CYYZ","KDFW","7.0"
"SAEZ","SKBO","3.0"
"LEMD","KFLL","1.0"
"KORD","LSZH","1.0"
"CYYZ","LPFR","1.0"
"EDDV","LJLJ","1.0"
"EHAM","EGSS","2.0"
"VIDP","UDYZ","1.0"
"KDEN","CAV9","1.0"
"EDDC","ELLX","2.0"
"KLAX","SAEZ","1.0"
"VHHH","EDDF","13.0"
"EGNX","EGJB","4.0"
"EDDF","LMML","5.0"
"ZGSZ","RJBB","13.0"
"WSSS","WMKK","15.0"
"SBGR","KJFK","2.0"
"RPLL","RJBB","2.0"
"UNNT","VHHH","4.0"
"RJTT","EGLL","7.0"
"CFQ7","KMSP","4.0"
"CYYC","KORD","8.0"
"LTBA","OERK","2.0"
"UUWW","LIRF","1.0"
"KORD","EGPK","1.0"
"EDVE","LFLB","1.0"
"ELLX","66II","1.0"
"EETN","UUEE","2.0"
"CYYC","60CO","2.0"
"LEZG","OTHH","1.0"
"CYYZ","BIKF","1.0"
"EHAM","VIDP","1.0"
"LYBE","LTBW","1.0"
"LFML","LTAC","1.0"
"RKSI","RCTP","34.0"
"WMKK","RJAA","3.0"
"VTBS","OTHH","17.0"
"EIDW","CYHM","1.0"
"OTHH","ESSA","8.0"
"LIMC","LEMD","4.0"
"CYYZ","KJFK","11.0"
"OMDW","LROP","1.0"
"EKBI","EDDP","5.0"
"ELLX","LFJL","2.0"
"EINN","KIAD","4.0"
"EDDN","EBLG","4.0"
"EGLL","KSEA","7.0"
"EDDV","LFLU","1.0"
"EDDB","EIDW","4.0"
"KLAX","ZGGG","2.0"
"EDDS","LSZH","1.0"
"VCBI","EGLL","2.0"
"KATL","CYUL","3.0"
"OTHH","EGBB","1.0"
"UUEE","EBBR","1.0"
"LHBP","LKVO","1.0"
"KIAH","CYYC","1.0"
"EBBR","LROP","2.0"
"MDPC","LSZH","1.0"
"EPWA","LCLK","2.0"
"EYKA","ETNW","1.0"
"EDDF","MDBG","1.0"
"EGLF","EHAM","1.0"
"EIDW","LFRS","2.0"
"EFHK","LFPG","8.0"
"RKSI","LHBP","3.0"
"OBBI","VHHH","21.0"
"EGLL","KLAX","16.0"
"KDFW","EBBR","2.0"
"OTHH","LTBW","8.0"
"EDDP","EGSS","5.0"
"UMMS","EDDM","3.0"
"EGBB","ENGM","1.0"
"EDDH","ENUL","2.0"
"LEZG","UAAA","2.0"
"EBLG","LFMY","4.0"
"NZAA","KLAX","4.0"
"KATL","MROC","1.0"
"EGMC","LROP","2.0"
"CYYZ","K7L8","1.0"
"OMDB","OETH","4.0"
"EGPH","EKRK","1.0"
"EGKK","EBBR","1.0"
"EDDK","EGBB","2.0"
"EDDP","WSAP","1.0"
"EHAM","EGPF","2.0"
"UDYZ","ESGG","1.0"
"EKOD","ESTL","1.0"
"EIDW","EGKK","6.0"
"KJFK","RKSI","23.0"
"EKCH","EBBR","3.0"
"EDDF","KEWR","15.0"
"LIMC","EGSS","3.0"
"OIKQ","OMDB","3.0"
"RJTT","KATL","2.0"
"LEVC","EIDW","2.0"
"EHRD","LSZH","1.0"
"EPGD","KPOB","1.0"
"OTHH","NZAA","8.0"
"OTBH","OMAM","2.0"
"VMMC","RJOE","1.0"
"CYVR","KCVG","5.0"
"LLBG","KEWR","7.0"
"FAGC","EDDF","1.0"
"EPWA","VCBI","1.0"
"LHBP","ESKN","2.0"
"EDDP","LILG","1.0"
"EGLL","VIDP","2.0"
"7FL6","CYPT","1.0"
"K10G","CYPT","1.0"
"EPWA","LTBW","2.0"
"VGZR","VHHH","1.0"
"VAJJ","WMKK","1.0"
"CYYZ","RKSI","1.0"
"EDDF","KSFO","1.0"
"OBBI","OMSJ","1.0"
"KATL","VABB","3.0"
"EYVP","LKPR","1.0"
"EGTK","EDMA","1.0"
"EHAM","LPPT","5.0"
"ESMS","EGSS","1.0"
"ETSI","LFBO","1.0"
"LJLJ","LIMC","5.0"
"OTBH","ETAR","4.0"
"EGSS","EDDP","6.0"
