"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"IG07","Josephs Field","small_airport","39.05690002441406","-85.03559875488281","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EPSY","Olsztyn-Mazury Airport","medium_airport","53.481899","20.9377","PL","POL","Poland","Europe","51.919438","19.145136","2574631.0","37846605.0","6.802805694196349","6.80%","2021"
"K3J7","Greene County Regional Airport","small_airport","33.59769821166992","-83.13899993896484","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KX58","Indiantown Airport","small_airport","27.036399841308594","-80.44010162353516","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EFTP","Tampere-Pirkkala Airport","medium_airport","61.414101","23.604401","FI","FIN","Finland","Europe","61.92411","25.748151","82053.0","5540718.0","1.4809091529292775","1.48%","2021"
"19WI","Erickson Field","small_airport","45.1952018737793","-92.05709838867188","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KWDR","Barrow County Airport","small_airport","33.98289871","-83.66739655","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KO28","Ells Field Willits Municipal Airport","small_airport","39.45130157470703","-123.37200164794922","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"6PA1","Tower Airfield","small_airport","40.51029968261719","-79.57980346679688","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"ESMJ","Kågeröd Simmelsberga Airport","small_airport","55.994701","13.0509","SE","SWE","Sweden","Europe","60.128161","18.643501","857401.0","10099270.0","8.489732426205062","8.49%","2021"
"EGSS","London Stansted Airport","large_airport","51.8849983215","0.234999999404","GB","GBR","United Kingdom","Europe","55.378051","-3.435973","4384954.0","67886004.0","6.459290194780061","6.46%","2021"
"II34","Booe Airport","closed","39.273102","-87.122233","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"0PS3","Carsonville Airport","small_airport","40.49039840698242","-76.7666015625","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"OH22","Stoltzfus Airfield","small_airport","40.761199951171875","-81.77899932861328","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EDPQ","Schmidgaden Airport","small_airport","49.429443359375","12.098055839538574","DE","DEU","Germany","Europe","51.165691","10.451526","3012158.0","83783945.0","3.595149404817355","3.60%","2021"
"WI1G","Gading Wonosari Airport","small_airport","-7.916590213775635","110.56400299072266","ID","IDN","Indonesia","Asia","-0.789275","113.921327","1566995.0","273523621.0","0.5728920209052073","0.57%","2021"
"LKSB","Stichovice Pluml Airport","small_airport","49.48609924316406","17.055599212646484","CZ","CZE","Czech Republic","Europe","49.817492","15.472962","1580189.0","10708982.0","14.755734952211144","","2021"
"LHZA","Zalaegerszeg-Andráshida Airfield","small_airport","46.884701","16.7889","HU","HUN","Hungary","Europe","47.162494","19.503304","720164.0","9660350.0","7.454843768600517","7.45%","2021"
"2IA9","South 80 Field","small_airport","43.190799713134766","-93.77079772949219","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
