"flight_date","flight_dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2020-03-30","2","E75L","KSFO","KMCI","1"
"2020-03-30","2","B738","KEWR","FL35","1"
"2020-03-30","2","B737","KATL","02XS","1"
"2020-03-30","2","B737","KBWI","KBUF","3"
"2020-03-30","2","B738","YBCG","YSSY","2"
"2020-03-30","2","CRJ9","KCLT","3NK5","1"
"2020-03-30","2","B763","ESMS","ENGM","1"
"2020-03-30","2","B762","KGSO","KCVG","1"
"2020-03-30","2","GL6T","RJTT","VHHH","1"
"2020-03-30","2","B762","1OA3","KCLT","1"
"2020-03-30","2","B738","KSEA","8AN6","1"
"2020-03-30","2","B772","LIRF","KJFK","1"
"2020-03-30","2","A320","EGLL","EKCH","1"
"2020-03-30","2","E75S","KCLE","KBOS","1"
"2020-03-30","2","B737","KBNA","KMCI","1"
"2020-03-30","2","B744","4OH4","KSEA","1"
"2020-03-30","2","B77L","OTHH","OTHH","1"
"2020-03-30","2","E75S","CYUL","KIAH","1"
"2020-03-30","2","E75L","KDFW","KBKL","1"
"2020-03-30","2","A319","ULLI","ULLI","1"
"2020-03-30","2","E75S","KLGA","KBNA","2"
"2020-03-30","2","B463","YSSY","YBBN","2"
"2020-03-30","2","B762","KSEA","KPDX","1"
"2020-03-30","2","H500","KNEL","KNEL","1"
"2020-03-30","2","CRJ9","KMSP","KCVG","4"
"2020-03-30","2","A321","KORD","KUZA","1"
"2020-03-30","2","A319","KSAN","KIAH","1"
"2020-03-30","2","E75L","KSEA","KSFF","1"
"2020-03-30","2","B77L","EDDF","KATL","1"
"2020-03-30","2","B738","EIDW","EGKK","1"
"2020-03-30","2","B739","KSEA","4AZ0","1"
"2020-03-30","2","B712","KJFK","KSGS","1"
"2020-03-30","2","E75L","KRSW","KIAH","1"
"2020-03-30","2","E75S","KSRQ","KDCA","1"
"2020-03-30","2","E45X","KLNK","KORD","1"
"2020-03-30","2","AS50","KBWI","KBWI","1"
"2020-03-30","2","CRJ9","KDFW","NC16","1"
"2020-03-30","2","E120","ENZV","ENUL","1"
"2020-03-30","2","B77L","KDFW","EDDF","1"
"2020-03-30","2","B738","EIDW","EGGD","1"
"2020-03-30","2","E190","KBOS","KEWR","1"
"2020-03-30","2","C680","KCLE","KDTW","1"
"2020-03-30","2","B738","KORD","KFTG","1"
"2020-03-30","2","CL30","KTYS","KECP","1"
"2020-03-30","2","A319","KDEN","KDFW","1"
"2020-03-30","2","B739","KSTL","KSEA","1"
"2020-03-30","2","A306","KSDF","02PR","1"
"2020-03-30","2","B752","KRSW","KMSP","1"
"2020-03-30","2","CRJ9","KPIA","KDFW","1"
"2020-03-30","2","B739","KSFO","KJFK","1"
"2020-03-30","2","C208","KCVG","51OI","1"
"2020-03-31","3","C208","KVIS","KOAK","4"
"2020-03-30","2","","WT24","UT13","1"
"2020-03-30","2","","KSAN","KSFF","1"
"2020-03-30","2","","KVNY","KTTN","1"
"2020-03-30","2","","CYYZ","CYOW","1"
"2020-03-30","2","","CYYZ","CYYC","2"
"2020-03-30","2","","SSNP","SSJC","1"
"2020-03-30","2","","KDPA","81WI","1"
"2020-03-30","2","","16FD","KX50","1"
"2020-03-30","2","","KJVY","KLOU","2"
"2020-03-30","2","","KJYO","VG07","1"
"2020-03-30","2","","FL57","KX04","1"
"2020-03-30","2","","KRYV","KRYV","3"
