"Source","Target","flights_count","flight_year"
"KIAH","KIAD","15.0","2020"
"KCMA","KSMO","7.0","2020"
"EHAM","RCTP","5.0","2020"
"KMIA","KBOS","35.0","2020"
"KGCM","MO29","1.0","2020"
"KMKE","KC29","5.0","2020"
"K1F0","1OK9","1.0","2020"
"KCMH","KORD","51.0","2020"
"KIPL","23CN","1.0","2020"
"CRA2","CYKZ","1.0","2020"
"KFMY","KDAY","1.0","2020"
"KDTS","KDTS","19.0","2020"
"LL22","KLOT","1.0","2020"
"KPDK","KDAL","1.0","2020"
"KMSP","0WI5","3.0","2020"
"7IS9","K1H0","2.0","2020"
"RKSI","EHAM","8.0","2020"
"KORD","KHSV","6.0","2020"
"EGLL","LMML","5.0","2020"
"KBOS","KFTG","5.0","2020"
"EGSS","LFPB","1.0","2020"
"KPNS","KMDW","2.0","2020"
"KCLE","KLAS","8.0","2020"
"MN71","KMIC","3.0","2020"
"KRNT","5WA2","1.0","2020"
"KJFK","KTYS","1.0","2020"
"CYBG","CYBG","5.0","2020"
"KMHR","KMHR","35.0","2020"
"10OH","7OH1","2.0","2020"
"5AZ3","42AZ","1.0","2020"
"KRDU","00VA","1.0","2020"
"KSEA","KL22","1.0","2020"
"KISP","KPHL","18.0","2020"
"K3I7","KVES","1.0","2020"
"KCHD","KCHD","274.0","2020"
"KDAL","KAUS","7.0","2020"
"AK50","AK50","1.0","2020"
"KUAO","KBFI","1.0","2020"
"KSEA","KNYL","1.0","2020"
"KIAH","20II","3.0","2020"
"KATL","KX39","1.0","2020"
"KAPA","CO18","9.0","2020"
"EGGW","VHHH","1.0","2020"
"KFLL","KCVG","3.0","2020"
"KSTS","CL36","1.0","2020"
"KBWI","PS52","3.0","2020"
"KFTW","SN59","1.0","2020"
"KSDF","KPDX","13.0","2020"
"KORD","KDEC","13.0","2020"
"EGPH","EGLL","13.0","2020"
"K1J6","FD90","2.0","2020"
"EDDS","EDDL","2.0","2020"
"KPIE","9IL6","1.0","2020"
"KSNA","CL36","1.0","2020"
"LKTB","LZTT","1.0","2020"
"KBNA","KECP","13.0","2020"
"KNPA","AL88","3.0","2020"
"KMIV","KMIV","9.0","2020"
"KLUK","KLUK","34.0","2020"
"KEWR","KDTW","11.0","2020"
"WA49","KSAN","1.0","2020"
"KPAE","KSFF","5.0","2020"
"EHAM","UMMS","6.0","2020"
"FA40","KSRQ","2.0","2020"
"LEMD","LPPR","8.0","2020"
"KAPA","KGXY","1.0","2020"
"EBLG","KJFK","11.0","2020"
"EGLL","EINN","5.0","2020"
"KENW","1WI0","1.0","2020"
"KCHN","FA60","1.0","2020"
"KCLW","20FA","1.0","2020"
"CYKZ","CYOO","3.0","2020"
"KPGD","KBDR","2.0","2020"
"KU42","KU77","5.0","2020"
"KCPK","15NC","1.0","2020"
"YPAD","YMGN","3.0","2020"
"FA08","KLEE","1.0","2020"
"OMDB","UUEE","1.0","2020"
"2WA1","K0S9","2.0","2020"
"KFUL","KRAL","9.0","2020"
"KAAF","KAAF","1.0","2020"
"LHBP","BIKF","2.0","2020"
"SC32","K27A","1.0","2020"
"37CN","5CA7","1.0","2020"
"KW32","KW45","1.0","2020"
"KEWR","AL16","1.0","2020"
"LFBO","LFTW","1.0","2020"
"KDPA","KRSW","1.0","2020"
"KCHO","KROA","2.0","2020"
"KATL","KGLH","2.0","2020"
"KBNA","KCLT","3.0","2020"
"24FL","KISM","1.0","2020"
"KK16","KSYR","1.0","2020"
"KMDW","KCLT","2.0","2020"
"KJFK","KCLT","23.0","2020"
"NC63","KRDU","1.0","2020"
"KGPM","KJWY","1.0","2020"
"KCHD","AZ43","1.0","2020"
"YRED","YBAF","1.0","2020"
"KRYN","KE63","9.0","2020"
"MY66","KMIC","3.0","2020"
"9IN9","07KY","3.0","2020"
"FL97","FL57","1.0","2020"
"KAVP","KIAD","6.0","2020"
"KTEB","KMJX","1.0","2020"
"6FD7","KTPF","2.0","2020"
"EDDH","EKCH","1.0","2020"
"NC52","NC27","1.0","2020"
"KADS","KPHX","4.0","2020"
"K54J","75FL","2.0","2020"
"KSTP","38IN","1.0","2020"
"EHRD","EHDB","2.0","2020"
"EHAM","FACT","1.0","2020"
"WI60","KATW","1.0","2020"
"SBGL","KATL","1.0","2020"
"KMCC","KSTS","1.0","2020"
"K7L8","KLGA","5.0","2020"
"KBED","KMMK","1.0","2020"
"CYQY","CYUL","1.0","2020"
"KFOA","KRSV","1.0","2020"
"KEWR","NY35","7.0","2020"
"KEYE","FL59","1.0","2020"
"0CL3","KMYF","1.0","2020"
"KJQF","KEXX","2.0","2020"
"KECP","KX39","1.0","2020"
"LROP","LTFJ","1.0","2020"
"KOMA","KAKH","1.0","2020"
"KUZA","KMCF","1.0","2020"
"KUES","K57C","1.0","2020"
"KHBI","59NC","1.0","2020"
"KGSO","KDFW","2.0","2020"
"EDDN","ESSD","1.0","2020"
"KJWN","KDZJ","1.0","2020"
"17GA","K4A4","1.0","2020"
"KHWY","11VG","1.0","2020"
"KPDK","KROG","1.0","2020"
"TX62","KJDD","1.0","2020"
"KCPK","62MD","1.0","2020"
"VAJJ","VAJJ","1.0","2020"
"ENVA","ENJB","3.0","2020"
"KVNW","73II","1.0","2020"
"KPIT","KSYR","1.0","2020"
"SBGR","KORD","1.0","2020"
"KSNA","9CA0","1.0","2020"
"KO22","KM45","1.0","2020"
"YMHB","YMHB","4.0","2020"
"90IL","KJOT","1.0","2020"
