"Source","Target","Weight"
"KSMF","KLGB","33.0"
"KMSP","NJ25","1.0"
"XS89","KHAE","1.0"
"KSJT","1MU0","1.0"
"EFHK","EGPH","2.0"
"TVSM","TVSA","1.0"
"YSSY","YMAY","51.0"
"KDEN","KALB","5.0"
"LKVO","LFPG","18.0"
"KCMR","KSDL","4.0"
"OMDB","VOMM","42.0"
"CYUL","KORD","35.0"
"KDEN","KSEA","88.0"
"KVPC","KCUB","1.0"
"ESSA","EVRA","23.0"
"YSLT","YLTV","1.0"
"KGTU","TS29","2.0"
"EGGD","LEMP","7.0"
"LFBO","EGGD","7.0"
"KSAN","KTNT","3.0"
"KIAD","KAFW","1.0"
"KIND","KOAK","16.0"
"KLAX","LSZH","7.0"
"LEMD","EDDH","14.0"
"EGWU","LHBP","1.0"
"EDXP","EDKA","1.0"
"KMKC","67OH","1.0"
"KFUL","KEMT","2.0"
"KNZY","0CL3","1.0"
"RPLL","RCPO","2.0"
"KPNE","6PA0","1.0"
"EGLL","LEMD","87.0"
"KOWI","KOJC","1.0"
"UKKK","UKKK","4.0"
"YBMC","YCXA","1.0"
"RPLL","VHHH","52.0"
"KCLT","KAGC","8.0"
"EDDT","LTBJ","1.0"
"LSZM","LFBO","6.0"
"KMMU","KBNA","1.0"
"KIND","KLAS","33.0"
"LEMD","DAAG","12.0"
"KDAL","KCUB","1.0"
"CYCD","CAT4","2.0"
"FD83","KIND","3.0"
"EGLL","KDEN","14.0"
"EDDF","LSGG","45.0"
"YJBY","YMEN","2.0"
"KO41","KO41","2.0"
"NZCH","NZRI","11.0"
"LTBA","EDAM","9.0"
"EIDW","LKHV","1.0"
"KLAF","KUGN","1.0"
"KTTN","KRDU","5.0"
"LIME","LFPC","4.0"
"KMCC","KAUN","8.0"
"KSTC","KIWA","4.0"
"KSFO","KRDU","16.0"
"UUEE","UUMO","1.0"
"KTUS","KTUS","64.0"
"FD83","KORD","4.0"
"KFXE","0FL9","5.0"
"K1N7","K47N","1.0"
"KHOU","KSAN","9.0"
"MA70","LEMD","1.0"
"KPYM","MA07","1.0"
"LDZA","LIDC","1.0"
"YSBK","YSHW","1.0"
"KPMP","KSJC","1.0"
"KMSN","4GA6","2.0"
"VHSK","VHSK","17.0"
"LFPG","ZGSZ","1.0"
"KLGB","KSEA","12.0"
"KLUK","0KY0","1.0"
"KAFP","1NC8","1.0"
"LFBO","LFDQ","4.0"
"KMSN","AL16","1.0"
"LIRA","LJLJ","1.0"
"KMYF","KCNO","2.0"
"KTEB","CYOO","2.0"
"KIAD","69VA","7.0"
"KBLI","KBVS","4.0"
"KT67","KT67","10.0"
"KAGC","7IS2","1.0"
"KSCK","KSQL","1.0"
"EKCH","KEWR","6.0"
"EPWA","EDAM","4.0"
"KSFO","KAPA","4.0"
"KE34","KVBT","1.0"
"KBXK","KE25","3.0"
"KAPA","KAPC","2.0"
"KORD","51IL","5.0"
"KBDL","KDEN","5.0"
"RJOT","RJTK","23.0"
"KONY","KSTJ","1.0"
"LFPG","RKSI","18.0"
"KSUS","TX61","1.0"
"EHAM","RCPO","1.0"
"KCRQ","KSEE","7.0"
"PN38","PS66","4.0"
"EPWA","EPLE","1.0"
"67PN","K9D4","1.0"
"KIND","KRDU","8.0"
"CYBW","CLJ3","1.0"
"7XS0","KT41","1.0"
"LDSP","EDDM","3.0"
"MA70","KHPN","4.0"
"LFBF","LFPB","1.0"
"KOWD","KHPN","5.0"
"KMDW","OL12","1.0"
"KORL","MA64","3.0"
"7PS7","KHPN","3.0"
"YZCE","YRED","1.0"
"KOXR","KSBA","4.0"
"KCIC","CA60","4.0"
"EDDL","LROP","5.0"
"LSZM","LFKJ","3.0"
"KORD","00IS","1.0"
"KFCM","4WN5","1.0"
"RJBE","RJAA","4.0"
"BIKF","LEBL","5.0"
"KHND","KFKR","1.0"
"KAZO","66MI","1.0"
"K41N","K41N","1.0"
"KORD","OTHH","4.0"
"KBWI","00NC","1.0"
"KSQL","KSQL","77.0"
"KMGE","40XS","1.0"
"77XS","TE09","1.0"
"KSNA","KLGB","12.0"
"KDEN","NK19","1.0"
"KTEB","1GA0","1.0"
"MMMX","KBOS","1.0"
"LSZH","KTEB","2.0"
"LFPN","LFRM","1.0"
"LFPG","UT13","2.0"
"KDDC","KDEN","3.0"
"EDDK","EDDC","16.0"
"KSAT","KSSF","1.0"
"KMCO","KDEN","3.0"
"EDDH","ESGG","6.0"
"TX61","KHOU","1.0"
"PA76","KPHL","1.0"
"LIPO","LIMC","1.0"
"KSAN","CYYZ","6.0"
"SN89","KMKC","2.0"
"KDAL","7PS7","1.0"
"LFLL","LFLL","2.0"
"KBKL","KIAD","4.0"
"RJDC","RCTP","2.0"
"KGSP","KGSP","1.0"
"KFME","GA21","1.0"
"EDDH","EDDB","1.0"
"TX62","4TX8","1.0"
"KDTW","KLAS","11.0"
"KHWO","KGYY","1.0"
"KF70","KHHR","3.0"
"KTEB","KMKE","2.0"
"MA43","KMMK","1.0"
"KAFW","KEDC","3.0"
"LIMF","EGKK","12.0"
"EINN","LFPG","3.0"
"XS74","KMDQ","1.0"
"KORD","7LL4","4.0"
"KIAD","LIRF","7.0"
"84PN","MD63","1.0"
"RJTT","OMDB","4.0"
"EGGP","LEGE","1.0"
"KMSN","KLAX","3.0"
"KLAS","K3MY","1.0"
"KRBD","TS00","1.0"
"EDDV","LFPB","2.0"
"LFVP","CYYT","3.0"
"UUDD","EBBR","4.0"
"LFJR","LFJR","1.0"
"EDBG","EDBG","1.0"
"KDEN","KSFB","1.0"
"WIII","EGLL","1.0"
"0PN0","1PA5","3.0"
"KPDK","KCMH","3.0"
"KDET","OI69","1.0"
"0OI3","KBKL","1.0"
"KSCK","KSAN","2.0"
"KVNY","KJFK","1.0"
"KSKA","KSEA","6.0"
"UUDD","EDDW","1.0"
"KEWR","ZBAA","2.0"
"EDDP","LFBD","1.0"
"KSUS","3KS1","1.0"
"EGNX","EIKN","5.0"
"EIDW","EGTE","1.0"
"LIRF","LYSM","2.0"
"KBNA","KSNA","1.0"
"KMDW","KBAF","1.0"
"3MD8","VG29","1.0"
"KMAF","KINK","1.0"
"ESMT","ESSE","1.0"
"SIVU","SIVU","1.0"
"LKTB","LSGL","1.0"
"14VA","KIAD","3.0"
"4OH3","KBKL","1.0"
"K1V6","KPUB","2.0"
"KMKE","25GA","4.0"
"LFPG","LKRK","1.0"
"1PN1","KFKL","2.0"
"EIDW","EGWU","2.0"
"KTEB","PN66","1.0"
"LKPR","LFLL","1.0"
"KPCM","NC99","1.0"
"EGGW","EGAD","1.0"
"LIME","LIBC","2.0"
"KRNT","KOAK","1.0"
"KLDJ","4NJ8","1.0"
"2WA1","WN18","1.0"
"SBMT","SSOI","1.0"
"CYUL","KPIA","1.0"
"KFME","8MD0","1.0"
"KBCT","KHXD","2.0"
"6OK9","6OK9","2.0"
"KMDQ","3AL8","1.0"
"K5C1","6TS2","1.0"
"KLAX","KOSU","2.0"
"PA55","PA43","1.0"
"EDBL","EDSH","1.0"
"EBBR","LIPV","4.0"
"7MD8","MD21","1.0"
"KMCO","PN62","2.0"
"KAPA","KLHX","1.0"
"KPWK","KSTP","1.0"
"LGAV","CYYZ","1.0"
"KIND","9II4","1.0"
"KIWS","NC16","1.0"
"KENW","KCOI","1.0"
"6IL0","6IL0","1.0"
"KDFW","TS35","1.0"
"KDTO","KF31","1.0"
"EDDL","ENSI","5.0"
"KRDU","KLBT","1.0"
"SN47","OMU9","1.0"
"UUEE","RJAH","1.0"
"KSLI","KTUS","1.0"
"LEMG","LCLK","1.0"
"YPEF","YSLE","1.0"
"EETU","EFHF","2.0"
"2FD0","96FL","1.0"
"FD92","EGKK","1.0"
"KPBI","2FA9","1.0"
"EDDH","LKSN","1.0"
"OTBD","LKVO","1.0"
"KLAX","71KY","1.0"
"KLAX","LTBW","2.0"
"LWSK","LJLJ","1.0"
"KISP","NK54","1.0"
"KAPC","KLAS","1.0"
"OIBA","OIKQ","1.0"
"KGRR","KARB","1.0"
"KANE","MY97","1.0"
"EDDF","DTMB","1.0"
"KGRR","FD83","1.0"
"KMYF","14AZ","1.0"
"MMMX","CSA2","1.0"
"KAPC","KMOD","1.0"
"FD81","AL71","1.0"
"EGKB","OMDB","1.0"
"YMPC","YMUR","1.0"
"20AZ","47AZ","1.0"
"KLAS","KEFD","1.0"
"OMAD","OERT","1.0"
"KO88","KMCE","1.0"
"KMMU","CT96","2.0"
"LFBG","LFBI","1.0"
"EPWA","LZIB","1.0"
"KLEB","31MA","1.0"
"LROP","EGPF","1.0"
"KDVT","30AZ","3.0"
"KSTL","KPDK","2.0"
"SBBR","KPHL","1.0"
"1NC0","KJNX","1.0"
"KPAO","CA04","1.0"
"KFNT","KMKE","1.0"
"KABE","0NJ5","1.0"
"LSZN","LSZB","1.0"
"KPHL","NC37","1.0"
"K06C","K1C2","1.0"
"KSAN","KCMA","1.0"
"EDDH","LEAL","2.0"
"KROA","4MD8","1.0"
"EGCC","LILV","1.0"
"96WA","WA42","1.0"
"20IN","KEYE","1.0"
"LFML","LTBW","2.0"
"LICC","EHAM","1.0"
"KLNR","KLNR","1.0"
"2AZ3","26AZ","1.0"
"PN59","PN59","2.0"
"TE96","KADS","1.0"
"LYBE","LROP","1.0"
"LIRA","LIMC","1.0"
"KJZP","K20A","1.0"
"LFAW","LFAW","3.0"
"EGLF","LIRA","2.0"
"OPSF","ZBAA","1.0"
"EGGW","LIRP","1.0"
"EDLW","EPLE","1.0"
"LIRA","OTHH","1.0"
"KRIR","KRIR","1.0"
"KSFB","K3M2","1.0"
"KI74","KBHM","1.0"
"EGSS","EGAD","1.0"
"06FA","KX10","1.0"
"AZ60","KPHX","1.0"
"KHXD","NY72","1.0"
"FARA","VHSK","2.0"
"LIME","LEMD","18.0"
"EDJA","LGSA","2.0"
"KJWN","KSEA","4.0"
"KCMA","KCMA","246.0"
"EPWA","LDZA","8.0"
"LFLL","EHAM","14.0"
"KAUS","KDWH","18.0"
"KVNY","KSBA","21.0"
"LIPZ","LFBO","2.0"
"LIME","LGAV","7.0"
"KSAN","KBTF","11.0"
"KFCM","KOMA","5.0"
"KMKC","KSTP","2.0"
"LEMG","EFHK","20.0"
"ESGG","LOWW","3.0"
"YBLT","YATR","4.0"
"LIRF","EDDM","54.0"
"EHAM","EDDS","32.0"
"KCVG","KLGA","2.0"
"PAGQ","PANC","2.0"
"KHOU","KLGB","3.0"
"YSSY","KHHR","10.0"
"KPWK","KHPN","2.0"
"KJVL","KMSN","4.0"
"KSTL","1LL4","2.0"
"59CA","CA54","1.0"
"OTBD","EKCH","6.0"
"EDDM","LIRP","11.0"
"KIND","IN81","1.0"
"PANC","AK17","13.0"
"KIAH","KLAS","42.0"
"LPPT","LIMC","28.0"
"UUBW","UUEE","1.0"
"KLAS","KOAK","84.0"
"ULLI","URRP","11.0"
"LPSO","LPEV","2.0"
"KRDU","K1B9","1.0"
"EGSS","ENGM","7.0"
"LFRB","LFPO","3.0"
"EPPO","EPPO","41.0"
"LTFE","LTFJ","18.0"
"KTEB","KPUJ","1.0"
"UAAA","EDAM","2.0"
"EDDS","4GA6","3.0"
"EDMO","UUWW","1.0"
"KAUS","MA64","3.0"
"LDZA","EHAM","7.0"
"KGRB","5WI9","2.0"
"KPHL","LIRF","7.0"
"KBFI","KTTD","3.0"
"OBBI","LIMC","2.0"
"KDAL","KBNA","18.0"
"CYYZ","KCOS","2.0"
"KCMX","KSGS","1.0"
"KLAS","KIWA","14.0"
"51IL","51IL","1.0"
"EDVM","EKAE","1.0"
"KCEU","12SC","2.0"
"ESSA","EGPH","9.0"
"8WI2","KATW","1.0"
"LSZA","EDDB","1.0"
"LDZA","OTBD","4.0"
"KPWA","TA63","1.0"
"KLOM","4IN9","1.0"
"KMKC","4MO0","1.0"
"32PN","KBVI","1.0"
"EDAM","WSAP","1.0"
"KMKE","K63F","1.0"
"9NC9","KCLT","8.0"
"K5C1","KSJT","1.0"
"WI69","KY72","1.0"
"KDFW","7PS7","2.0"
"KORD","KGMU","1.0"
"KTEB","KWHP","10.0"
"KBUF","GA39","1.0"
"EDML","EDPO","1.0"
"KLAX","KU42","19.0"
"KLBB","58TE","3.0"
"9GA1","GE23","1.0"
"3VA7","FD81","1.0"
"LSGB","LFLI","1.0"
